forecast_id,initialization_time,valid_time,region,zone,latitude,longitude,lead_day,rainfall_forecast,rainfall_observed,temperature_forecast,temperature_observed,wind_forecast,wind_observed,pressure_forecast,pressure_observed,humidity_forecast,humidity_observed,absolute_error,signed_error,relative_error,ensemble_mean,ensemble_spread,ensemble_min,ensemble_max,spatial_variability,data_source,variable
FCST_20240101_GUJ_D1,2024-01-01,2024-01-02,Gujarat,West,22.2587,71.1924,1,0.0,0.0,21.4,22.0,12.4,13.4,1005.9,1005.1,54.8,53.8,0.0,0.0,0.0,-0.3,1.5,0.0,3.0,6.55,DEMO DATA,rainfall
FCST_20240101_GUJ_D2,2024-01-01,2024-01-03,Gujarat,West,22.2587,71.1924,2,1.8,0.6,21.1,20.9,14.5,13.7,1006.5,1007.6,55.6,55.6,1.2,1.2,0.75,1.2,2.25,0.0,6.2,2.59,DEMO DATA,rainfall
FCST_20240101_GUJ_D3,2024-01-01,2024-01-04,Gujarat,West,22.2587,71.1924,3,0.0,0.5,21.5,22.2,11.9,12.2,1004.5,1004.4,52.6,51.6,0.5,-0.5,0.333,0.6,3.3,0.0,7.9,2.55,DEMO DATA,rainfall
FCST_20240101_GUJ_D4,2024-01-01,2024-01-05,Gujarat,West,22.2587,71.1924,4,5.0,8.7,21.5,21.3,8.8,7.7,1006.5,1005.3,54.5,58.5,3.7,-3.7,0.381,3.5,5.3,0.0,15.2,2.17,DEMO DATA,rainfall
FCST_20240101_GUJ_D5,2024-01-01,2024-01-06,Gujarat,West,22.2587,71.1924,5,0.0,6.3,22.0,22.4,12.1,18.8,1005.0,1004.2,55.2,53.6,6.3,-6.3,0.863,-0.1,7.33,0.0,16.0,7.13,DEMO DATA,rainfall
FCST_20240101_GUJ_D6,2024-01-01,2024-01-07,Gujarat,West,22.2587,71.1924,6,0.0,0.0,21.0,20.7,13.4,12.5,1006.2,1006.7,53.8,58.9,0.0,0.0,0.0,-0.9,6.91,0.0,14.3,11.62,DEMO DATA,rainfall
FCST_20240101_GUJ_D7,2024-01-01,2024-01-08,Gujarat,West,22.2587,71.1924,7,2.1,0.0,22.7,22.7,12.0,11.4,1005.8,1004.2,57.5,55.5,2.1,2.1,2.1,3.1,8.83,0.0,22.5,8.64,DEMO DATA,rainfall
FCST_20240101_GUJ_D8,2024-01-01,2024-01-09,Gujarat,West,22.2587,71.1924,8,0.0,0.0,23.4,23.4,12.0,12.2,1006.6,1009.6,55.1,54.1,0.0,0.0,0.0,0.7,9.62,0.0,21.9,13.73,DEMO DATA,rainfall
FCST_20240101_GUJ_D9,2024-01-01,2024-01-10,Gujarat,West,22.2587,71.1924,9,0.0,0.0,21.3,22.4,14.3,20.4,1007.3,1006.0,58.2,55.0,0.0,0.0,0.0,4.7,11.01,0.0,28.9,22.09,DEMO DATA,rainfall
FCST_20240101_GUJ_D10,2024-01-01,2024-01-11,Gujarat,West,22.2587,71.1924,10,0.0,0.0,19.3,18.7,11.8,14.2,1004.5,1002.8,57.2,58.6,0.0,0.0,0.0,4.1,12.43,0.0,31.4,10.25,DEMO DATA,rainfall
FCST_20240101_MAH_D1,2024-01-01,2024-01-02,Maharashtra,West-Central,19.7515,75.7139,1,0.0,0.0,21.2,21.6,10.4,11.9,1006.8,1006.9,57.0,59.0,0.0,0.0,0.0,0.1,1.5,0.0,3.4,1.36,DEMO DATA,rainfall
FCST_20240101_MAH_D2,2024-01-01,2024-01-03,Maharashtra,West-Central,19.7515,75.7139,2,0.0,0.0,21.4,20.5,10.2,11.3,1006.9,1007.7,57.6,58.8,0.0,0.0,0.0,0.5,1.95,0.0,4.8,2.19,DEMO DATA,rainfall
FCST_20240101_MAH_D3,2024-01-01,2024-01-04,Maharashtra,West-Central,19.7515,75.7139,3,0.0,1.3,20.8,19.5,12.8,12.7,1006.0,1005.3,57.9,61.0,1.3,-1.3,0.565,-0.9,3.44,0.0,6.7,5.69,DEMO DATA,rainfall
FCST_20240101_MAH_D4,2024-01-01,2024-01-05,Maharashtra,West-Central,19.7515,75.7139,4,0.0,0.0,21.2,20.6,12.8,14.1,1005.7,1005.8,57.3,59.6,0.0,0.0,0.0,1.9,4.33,0.0,11.4,5.58,DEMO DATA,rainfall
FCST_20240101_MAH_D5,2024-01-01,2024-01-06,Maharashtra,West-Central,19.7515,75.7139,5,0.0,5.8,20.3,20.7,13.2,13.7,1007.4,1007.4,52.8,56.3,5.8,-5.8,0.853,1.1,7.92,0.0,18.5,14.42,DEMO DATA,rainfall
FCST_20240101_MAH_D6,2024-01-01,2024-01-07,Maharashtra,West-Central,19.7515,75.7139,6,4.5,5.0,21.5,22.5,11.9,8.4,1004.8,1004.3,51.0,55.8,0.5,-0.5,0.083,7.3,7.05,0.0,22.8,10.06,DEMO DATA,rainfall
FCST_20240101_MAH_D7,2024-01-01,2024-01-08,Maharashtra,West-Central,19.7515,75.7139,7,0.0,0.0,20.5,20.8,12.1,10.5,1006.3,1007.2,53.3,49.5,0.0,0.0,0.0,-0.2,8.25,0.0,18.0,4.79,DEMO DATA,rainfall
FCST_20240101_MAH_D8,2024-01-01,2024-01-09,Maharashtra,West-Central,19.7515,75.7139,8,0.0,2.9,23.2,26.8,10.5,13.2,1005.3,1003.5,61.4,58.9,2.9,-2.9,0.744,-0.6,10.64,0.0,22.8,34.81,DEMO DATA,rainfall
FCST_20240101_MAH_D9,2024-01-01,2024-01-10,Maharashtra,West-Central,19.7515,75.7139,9,0.0,0.0,17.4,17.6,9.1,13.1,1005.8,1003.9,50.9,57.4,0.0,0.0,0.0,0.0,11.01,0.0,24.2,10.21,DEMO DATA,rainfall
FCST_20240101_MAH_D10,2024-01-01,2024-01-11,Maharashtra,West-Central,19.7515,75.7139,10,0.0,0.0,21.4,21.1,11.9,13.7,1007.2,1007.6,61.4,57.7,0.0,0.0,0.0,2.8,12.43,0.0,30.1,9.09,DEMO DATA,rainfall
FCST_20240101_KER_D1,2024-01-01,2024-01-02,Kerala,South,10.8505,76.2711,1,0.0,0.0,21.0,21.6,11.3,12.0,1006.7,1006.3,57.1,52.8,0.0,0.0,0.0,-0.5,1.5,0.0,2.8,3.72,DEMO DATA,rainfall
FCST_20240101_KER_D2,2024-01-01,2024-01-03,Kerala,South,10.8505,76.2711,2,0.0,0.5,21.2,20.8,13.4,14.7,1005.9,1005.8,54.7,57.1,0.5,-0.5,0.333,0.2,2.07,0.0,4.8,2.41,DEMO DATA,rainfall
FCST_20240101_KER_D3,2024-01-01,2024-01-04,Kerala,South,10.8505,76.2711,3,0.0,1.8,22.6,23.2,13.1,12.0,1004.6,1004.6,54.5,47.8,1.8,-1.8,0.643,1.8,4.06,0.0,10.7,1.95,DEMO DATA,rainfall
FCST_20240101_KER_D4,2024-01-01,2024-01-05,Kerala,South,10.8505,76.2711,4,0.0,0.7,21.0,22.3,12.6,11.7,1007.6,1007.1,54.4,59.3,0.7,-0.7,0.412,0.4,4.52,0.0,10.3,14.04,DEMO DATA,rainfall
FCST_20240101_KER_D5,2024-01-01,2024-01-06,Kerala,South,10.8505,76.2711,5,13.6,8.1,21.0,20.9,11.6,12.4,1005.4,1006.0,55.3,53.7,5.5,5.5,0.604,13.7,7.31,0.5,29.8,19.85,DEMO DATA,rainfall
FCST_20240101_KER_D6,2024-01-01,2024-01-07,Kerala,South,10.8505,76.2711,6,0.0,11.2,21.4,20.3,10.1,12.0,1006.2,1006.4,56.9,66.5,11.2,-11.2,0.918,-2.1,10.59,0.0,21.2,7.06,DEMO DATA,rainfall
FCST_20240101_KER_D7,2024-01-01,2024-01-08,Kerala,South,10.8505,76.2711,7,0.0,11.6,19.8,18.4,10.0,11.2,1006.4,1004.9,56.5,65.3,11.6,-11.6,0.921,-0.3,14.49,0.0,31.6,7.44,DEMO DATA,rainfall
FCST_20240101_KER_D8,2024-01-01,2024-01-09,Kerala,South,10.8505,76.2711,8,0.0,0.0,19.3,19.4,14.7,13.5,1006.0,1006.7,59.6,54.0,0.0,0.0,0.0,-0.3,9.62,0.0,20.9,2.88,DEMO DATA,rainfall
FCST_20240101_KER_D9,2024-01-01,2024-01-10,Kerala,South,10.8505,76.2711,9,0.0,0.0,21.9,24.1,7.9,8.1,1008.1,1010.8,56.6,66.4,0.0,0.0,0.0,-2.8,11.01,0.0,21.4,9.67,DEMO DATA,rainfall
FCST_20240101_KER_D10,2024-01-01,2024-01-11,Kerala,South,10.8505,76.2711,10,1.0,14.7,22.1,22.5,15.1,8.6,1004.7,1004.0,58.0,66.0,13.7,-13.7,0.873,-6.9,18.45,0.0,33.7,13.01,DEMO DATA,rainfall
FCST_20240101_RAJ_D1,2024-01-01,2024-01-02,Rajasthan,Northwest,27.0238,74.2179,1,0.9,1.9,20.4,21.7,11.5,11.1,1005.5,1005.3,56.2,55.1,1.0,-1.0,0.345,0.7,1.5,0.0,4.0,1.26,DEMO DATA,rainfall
FCST_20240101_RAJ_D2,2024-01-01,2024-01-03,Rajasthan,Northwest,27.0238,74.2179,2,0.0,1.0,20.5,21.5,11.4,12.6,1006.2,1005.8,51.5,49.4,1.0,-1.0,0.5,0.3,2.26,0.0,5.3,2.14,DEMO DATA,rainfall
