forecast_id,initialization_time,valid_time,region,zone,latitude,longitude,lead_day,rainfall_forecast,temperature_forecast,wind_forecast,pressure_forecast,humidity_forecast,ensemble_mean,ensemble_spread,ensemble_min,ensemble_max,spatial_variability
FCST_20240101_GUJ_D1,2024-01-01,2024-01-02,Gujarat,West,22.2587,71.1924,1,0.0,21.4,12.4,1005.9,54.8,-0.3,1.5,0.0,3.0,6.55
FCST_20240101_GUJ_D2,2024-01-01,2024-01-03,Gujarat,West,22.2587,71.1924,2,1.8,21.1,14.5,1006.5,55.6,1.2,2.25,0.0,6.2,2.59
FCST_20240101_GUJ_D3,2024-01-01,2024-01-04,Gujarat,West,22.2587,71.1924,3,0.0,21.5,11.9,1004.5,52.6,0.6,3.3,0.0,7.9,2.55
FCST_20240101_GUJ_D4,2024-01-01,2024-01-05,Gujarat,West,22.2587,71.1924,4,5.0,21.5,8.8,1006.5,54.5,3.5,5.3,0.0,15.2,2.17
FCST_20240101_GUJ_D5,2024-01-01,2024-01-06,Gujarat,West,22.2587,71.1924,5,0.0,22.0,12.1,1005.0,55.2,-0.1,7.33,0.0,16.0,7.13
FCST_20240101_GUJ_D6,2024-01-01,2024-01-07,Gujarat,West,22.2587,71.1924,6,0.0,21.0,13.4,1006.2,53.8,-0.9,6.91,0.0,14.3,11.62
FCST_20240101_GUJ_D7,2024-01-01,2024-01-08,Gujarat,West,22.2587,71.1924,7,2.1,22.7,12.0,1005.8,57.5,3.1,8.83,0.0,22.5,8.64
FCST_20240101_GUJ_D8,2024-01-01,2024-01-09,Gujarat,West,22.2587,71.1924,8,0.0,23.4,12.0,1006.6,55.1,0.7,9.62,0.0,21.9,13.73
FCST_20240101_GUJ_D9,2024-01-01,2024-01-10,Gujarat,West,22.2587,71.1924,9,0.0,21.3,14.3,1007.3,58.2,4.7,11.01,0.0,28.9,22.09
FCST_20240101_GUJ_D10,2024-01-01,2024-01-11,Gujarat,West,22.2587,71.1924,10,0.0,19.3,11.8,1004.5,57.2,4.1,12.43,0.0,31.4,10.25
FCST_20240101_MAH_D1,2024-01-01,2024-01-02,Maharashtra,West-Central,19.7515,75.7139,1,0.0,21.2,10.4,1006.8,57.0,0.1,1.5,0.0,3.4,1.36
FCST_20240101_MAH_D2,2024-01-01,2024-01-03,Maharashtra,West-Central,19.7515,75.7139,2,0.0,21.4,10.2,1006.9,57.6,0.5,1.95,0.0,4.8,2.19
FCST_20240101_MAH_D3,2024-01-01,2024-01-04,Maharashtra,West-Central,19.7515,75.7139,3,0.0,20.8,12.8,1006.0,57.9,-0.9,3.44,0.0,6.7,5.69
FCST_20240101_MAH_D4,2024-01-01,2024-01-05,Maharashtra,West-Central,19.7515,75.7139,4,0.0,21.2,12.8,1005.7,57.3,1.9,4.33,0.0,11.4,5.58
FCST_20240101_MAH_D5,2024-01-01,2024-01-06,Maharashtra,West-Central,19.7515,75.7139,5,0.0,20.3,13.2,1007.4,52.8,1.1,7.92,0.0,18.5,14.42
FCST_20240101_MAH_D6,2024-01-01,2024-01-07,Maharashtra,West-Central,19.7515,75.7139,6,4.5,21.5,11.9,1004.8,51.0,7.3,7.05,0.0,22.8,10.06
FCST_20240101_MAH_D7,2024-01-01,2024-01-08,Maharashtra,West-Central,19.7515,75.7139,7,0.0,20.5,12.1,1006.3,53.3,-0.2,8.25,0.0,18.0,4.79
FCST_20240101_MAH_D8,2024-01-01,2024-01-09,Maharashtra,West-Central,19.7515,75.7139,8,0.0,23.2,10.5,1005.3,61.4,-0.6,10.64,0.0,22.8,34.81
FCST_20240101_MAH_D9,2024-01-01,2024-01-10,Maharashtra,West-Central,19.7515,75.7139,9,0.0,17.4,9.1,1005.8,50.9,0.0,11.01,0.0,24.2,10.21
FCST_20240101_MAH_D10,2024-01-01,2024-01-11,Maharashtra,West-Central,19.7515,75.7139,10,0.0,21.4,11.9,1007.2,61.4,2.8,12.43,0.0,30.1,9.09
FCST_20240101_KER_D1,2024-01-01,2024-01-02,Kerala,South,10.8505,76.2711,1,0.0,21.0,11.3,1006.7,57.1,-0.5,1.5,0.0,2.8,3.72
FCST_20240101_KER_D2,2024-01-01,2024-01-03,Kerala,South,10.8505,76.2711,2,0.0,21.2,13.4,1005.9,54.7,0.2,2.07,0.0,4.8,2.41
FCST_20240101_KER_D3,2024-01-01,2024-01-04,Kerala,South,10.8505,76.2711,3,0.0,22.6,13.1,1004.6,54.5,1.8,4.06,0.0,10.7,1.95
FCST_20240101_KER_D4,2024-01-01,2024-01-05,Kerala,South,10.8505,76.2711,4,0.0,21.0,12.6,1007.6,54.4,0.4,4.52,0.0,10.3,14.04
FCST_20240101_KER_D5,2024-01-01,2024-01-06,Kerala,South,10.8505,76.2711,5,13.6,21.0,11.6,1005.4,55.3,13.7,7.31,0.5,29.8,19.85
FCST_20240101_KER_D6,2024-01-01,2024-01-07,Kerala,South,10.8505,76.2711,6,0.0,21.4,10.1,1006.2,56.9,-2.1,10.59,0.0,21.2,7.06
FCST_20240101_KER_D7,2024-01-01,2024-01-08,Kerala,South,10.8505,76.2711,7,0.0,19.8,10.0,1006.4,56.5,-0.3,14.49,0.0,31.6,7.44
FCST_20240101_KER_D8,2024-01-01,2024-01-09,Kerala,South,10.8505,76.2711,8,0.0,19.3,14.7,1006.0,59.6,-0.3,9.62,0.0,20.9,2.88
FCST_20240101_KER_D9,2024-01-01,2024-01-10,Kerala,South,10.8505,76.2711,9,0.0,21.9,7.9,1008.1,56.6,-2.8,11.01,0.0,21.4,9.67
FCST_20240101_KER_D10,2024-01-01,2024-01-11,Kerala,South,10.8505,76.2711,10,1.0,22.1,15.1,1004.7,58.0,-6.9,18.45,0.0,33.7,13.01
FCST_20240101_RAJ_D1,2024-01-01,2024-01-02,Rajasthan,Northwest,27.0238,74.2179,1,0.9,20.4,11.5,1005.5,56.2,0.7,1.5,0.0,4.0,1.26
FCST_20240101_RAJ_D2,2024-01-01,2024-01-03,Rajasthan,Northwest,27.0238,74.2179,2,0.0,20.5,11.4,1006.2,51.5,0.3,2.26,0.0,5.3,2.14
FCST_20240101_RAJ_D3,2024-01-01,2024-01-04,Rajasthan,Northwest,27.0238,74.2179,3,0.0,19.7,10.7,1004.3,57.2,-0.6,3.11,0.0,6.2,1.01
FCST_20240101_RAJ_D4,2024-01-01,2024-01-05,Rajasthan,Northwest,27.0238,74.2179,4,0.0,20.4,10.6,1005.4,54.6,1.5,5.96,0.0,14.6,2.09
FCST_20240101_RAJ_D5,2024-01-01,2024-01-06,Rajasthan,Northwest,27.0238,74.2179,5,0.0,21.1,14.1,1004.7,50.3,-1.0,6.77,0.0,13.9,3.13
FCST_20240101_RAJ_D6,2024-01-01,2024-01-07,Rajasthan,Northwest,27.0238,74.2179,6,0.0,18.8,12.9,1006.7,55.2,2.8,6.91,0.0,18.0,4.56
FCST_20240101_RAJ_D7,2024-01-01,2024-01-08,Rajasthan,Northwest,27.0238,74.2179,7,0.0,21.9,12.2,1002.6,53.9,-1.8,8.25,0.0,16.4,6.82
FCST_20240101_RAJ_D8,2024-01-01,2024-01-09,Rajasthan,Northwest,27.0238,74.2179,8,0.0,20.6,13.3,1007.8,58.0,3.8,9.62,0.0,25.0,13.71
FCST_20240101_RAJ_D9,2024-01-01,2024-01-10,Rajasthan,Northwest,27.0238,74.2179,9,0.0,20.8,10.8,1005.7,57.4,-6.6,14.08,0.0,24.4,9.02
FCST_20240101_RAJ_D10,2024-01-01,2024-01-11,Rajasthan,Northwest,27.0238,74.2179,10,0.0,19.3,11.6,1005.8,58.5,-1.2,12.43,0.0,26.1,20.99
FCST_20240101_ODI_D1,2024-01-01,2024-01-02,Odisha,East,20.9517,85.0985,1,3.2,22.2,11.2,1005.8,56.4,3.0,1.5,0.3,6.3,4.59
FCST_20240101_ODI_D2,2024-01-01,2024-01-03,Odisha,East,20.9517,85.0985,2,0.0,22.0,9.8,1006.4,53.6,0.1,1.95,0.0,4.4,4.46
FCST_20240101_ODI_D3,2024-01-01,2024-01-04,Odisha,East,20.9517,85.0985,3,0.0,21.4,12.2,1006.4,53.0,0.4,3.26,0.0,7.6,3.53
FCST_20240101_ODI_D4,2024-01-01,2024-01-05,Odisha,East,20.9517,85.0985,4,0.0,20.9,13.0,1003.9,54.8,-3.3,4.93,0.0,7.5,5.11
FCST_20240101_ODI_D5,2024-01-01,2024-01-06,Odisha,East,20.9517,85.0985,5,0.0,22.2,8.3,1005.1,56.8,0.2,5.6,0.0,12.5,7.74
FCST_20240101_ODI_D6,2024-01-01,2024-01-07,Odisha,East,20.9517,85.0985,6,0.0,21.1,16.6,1004.8,59.5,-2.4,6.91,0.0,12.8,4.08
FCST_20240101_ODI_D7,2024-01-01,2024-01-08,Odisha,East,20.9517,85.0985,7,0.0,20.9,11.5,1006.8,52.9,-2.2,8.25,0.0,16.0,7.7
FCST_20240101_ODI_D8,2024-01-01,2024-01-09,Odisha,East,20.9517,85.0985,8,0.0,20.8,12.1,1006.6,61.0,-3.7,9.62,0.0,17.5,16.5
FCST_20240101_ODI_D9,2024-01-01,2024-01-10,Odisha,East,20.9517,85.0985,9,0.0,22.8,6.4,1003.6,53.4,2.3,13.59,0.0,32.2,13.66
FCST_20240101_ODI_D10,2024-01-01,2024-01-11,Odisha,East,20.9517,85.0985,10,0.0,21.0,8.3,1006.4,49.2,-6.8,14.74,0.0,25.6,4.0
FCST_20240101_ASS_D1,2024-01-01,2024-01-02,Assam,Northeast,26.2006,92.9376,1,0.0,21.5,11.0,1006.3,54.5,1.0,1.5,0.0,4.3,2.69
FCST_20240101_ASS_D2,2024-01-01,2024-01-03,Assam,Northeast,26.2006,92.9376,2,0.0,21.4,10.9,1006.3,59.7,0.2,1.95,0.0,4.5,3.93
FCST_20240101_ASS_D3,2024-01-01,2024-01-04,Assam,Northeast,26.2006,92.9376,3,0.0,21.7,9.4,1005.6,54.9,0.5,3.11,0.0,7.3,9.46
FCST_20240101_ASS_D4,2024-01-01,2024-01-05,Assam,Northeast,26.2006,92.9376,4,6.8,22.1,11.5,1004.5,56.4,8.0,5.34,0.0,19.7,7.57
FCST_20240101_ASS_D5,2024-01-01,2024-01-06,Assam,Northeast,26.2006,92.9376,5,0.0,20.9,9.7,1007.6,54.7,0.1,5.86,0.0,13.0,13.82
FCST_20240101_ASS_D6,2024-01-01,2024-01-07,Assam,Northeast,26.2006,92.9376,6,0.0,22.5,10.3,1005.6,48.1,-1.4,6.91,0.0,13.8,3.25
FCST_20240101_ASS_D7,2024-01-01,2024-01-08,Assam,Northeast,26.2006,92.9376,7,0.0,20.5,7.5,1004.6,52.0,0.4,9.48,0.0,21.3,13.37
FCST_20240101_ASS_D8,2024-01-01,2024-01-09,Assam,Northeast,26.2006,92.9376,8,0.0,19.5,11.8,1005.5,53.4,2.5,9.62,0.0,23.7,6.72
FCST_20240101_ASS_D9,2024-01-01,2024-01-10,Assam,Northeast,26.2006,92.9376,9,0.0,22.0,17.3,1007.6,52.4,-4.0,11.53,0.0,21.4,6.41
FCST_20240101_ASS_D10,2024-01-01,2024-01-11,Assam,Northeast,26.2006,92.9376,10,5.6,20.2,11.6,1007.3,51.4,6.6,16.43,0.0,42.7,18.5
FCST_20240101_PUN_D1,2024-01-01,2024-01-02,Punjab,North,31.1471,75.3412,1,0.0,21.4,12.2,1006.5,56.4,0.2,1.5,0.0,3.5,2.56
FCST_20240101_PUN_D2,2024-01-01,2024-01-03,Punjab,North,31.1471,75.3412,2,0.0,22.0,12.5,1005.1,55.4,-0.0,2.04,0.0,4.5,3.29
FCST_20240101_PUN_D3,2024-01-01,2024-01-04,Punjab,North,31.1471,75.3412,3,0.0,21.4,12.2,1006.0,54.6,-0.4,3.11,0.0,6.4,11.08
FCST_20240101_PUN_D4,2024-01-01,2024-01-05,Punjab,North,31.1471,75.3412,4,0.0,21.2,8.9,1005.8,52.4,2.0,4.33,0.0,11.5,2.02
FCST_20240101_PUN_D5,2024-01-01,2024-01-06,Punjab,North,31.1471,75.3412,5,1.0,22.1,11.2,1005.4,53.6,-1.0,8.65,0.0,18.0,8.8
FCST_20240101_PUN_D6,2024-01-01,2024-01-07,Punjab,North,31.1471,75.3412,6,5.8,21.5,13.0,1006.1,59.6,4.8,9.24,0.0,25.1,1.27
FCST_20240101_PUN_D7,2024-01-01,2024-01-08,Punjab,North,31.1471,75.3412,7,0.0,21.1,10.1,1009.5,53.8,-1.0,9.53,0.0,20.0,9.31
FCST_20240101_PUN_D8,2024-01-01,2024-01-09,Punjab,North,31.1471,75.3412,8,0.0,20.0,12.8,1008.7,52.4,-1.4,9.76,0.0,20.1,16.13
FCST_20240101_PUN_D9,2024-01-01,2024-01-10,Punjab,North,31.1471,75.3412,9,0.0,21.6,9.7,1008.9,56.7,3.6,11.01,0.0,27.8,36.45
FCST_20240101_PUN_D10,2024-01-01,2024-01-11,Punjab,North,31.1471,75.3412,10,0.0,21.5,9.0,1005.4,57.7,-1.1,17.24,0.0,36.8,2.46
FCST_20240101_TAM_D1,2024-01-01,2024-01-02,Tamil Nadu,South,11.1271,78.6569,1,0.0,20.8,14.1,1005.0,55.4,-0.0,1.5,0.0,3.3,0.48
FCST_20240101_TAM_D2,2024-01-01,2024-01-03,Tamil Nadu,South,11.1271,78.6569,2,0.0,20.7,14.5,1006.6,56.1,-0.1,2.21,0.0,4.8,5.52
FCST_20240101_TAM_D3,2024-01-01,2024-01-04,Tamil Nadu,South,11.1271,78.6569,3,0.0,21.8,10.4,1005.3,54.9,0.4,3.11,0.0,7.2,4.84
FCST_20240101_TAM_D4,2024-01-01,2024-01-05,Tamil Nadu,South,11.1271,78.6569,4,5.9,21.5,10.6,1004.8,58.4,6.0,7.27,0.0,22.0,3.79
FCST_20240101_TAM_D5,2024-01-01,2024-01-06,Tamil Nadu,South,11.1271,78.6569,5,9.2,21.7,12.7,1005.7,51.8,10.9,6.28,0.0,24.7,3.51
FCST_20240101_TAM_D6,2024-01-01,2024-01-07,Tamil Nadu,South,11.1271,78.6569,6,16.5,21.3,11.5,1006.9,56.7,16.9,7.91,2.7,34.3,16.85
FCST_20240101_TAM_D7,2024-01-01,2024-01-08,Tamil Nadu,South,11.1271,78.6569,7,18.2,21.7,10.4,1007.8,53.6,19.6,9.34,2.8,40.1,22.87
FCST_20240101_TAM_D8,2024-01-01,2024-01-09,Tamil Nadu,South,11.1271,78.6569,8,2.3,22.5,12.2,1005.8,53.7,2.7,10.34,0.0,25.4,6.18
FCST_20240101_TAM_D9,2024-01-01,2024-01-10,Tamil Nadu,South,11.1271,78.6569,9,0.0,20.2,18.2,1007.1,56.0,1.6,11.01,0.0,25.8,9.8
FCST_20240101_TAM_D10,2024-01-01,2024-01-11,Tamil Nadu,South,11.1271,78.6569,10,0.0,21.5,10.9,1005.2,50.8,-1.9,12.43,0.0,25.4,2.74
FCST_20240101_AND_D1,2024-01-01,2024-01-02,Andhra Pradesh,South-East,15.9129,79.74,1,5.6,20.9,12.0,1007.1,55.7,5.7,1.51,3.0,9.0,1.5
FCST_20240101_AND_D2,2024-01-01,2024-01-03,Andhra Pradesh,South-East,15.9129,79.74,2,0.0,20.9,12.9,1006.0,54.9,-0.5,2.36,0.0,4.7,10.0
FCST_20240101_AND_D3,2024-01-01,2024-01-04,Andhra Pradesh,South-East,15.9129,79.74,3,4.0,21.6,10.6,1005.9,56.3,4.3,3.34,0.0,11.6,2.57
