valid_time,region,latitude,longitude,rainfall_observed,temperature_observed,wind_observed,pressure_observed,humidity_observed,observation_id
2024-01-02,Gujarat,22.2587,71.1924,0.0,22.0,13.4,1005.1,53.8,OBS_20240102_GUJ
2024-01-03,Gujarat,22.2587,71.1924,0.6,20.9,13.7,1007.6,55.6,OBS_20240103_GUJ
2024-01-04,Gujarat,22.2587,71.1924,0.5,22.2,12.2,1004.4,51.6,OBS_20240104_GUJ
2024-01-05,Gujarat,22.2587,71.1924,8.7,21.3,7.7,1005.3,58.5,OBS_20240105_GUJ
2024-01-06,Gujarat,22.2587,71.1924,6.3,22.4,18.8,1004.2,53.6,OBS_20240106_GUJ
2024-01-07,Gujarat,22.2587,71.1924,0.0,20.7,12.5,1006.7,58.9,OBS_20240107_GUJ
2024-01-08,Gujarat,22.2587,71.1924,0.0,22.7,11.4,1004.2,55.5,OBS_20240108_GUJ
2024-01-09,Gujarat,22.2587,71.1924,0.0,23.4,12.2,1009.6,54.1,OBS_20240109_GUJ
2024-01-10,Gujarat,22.2587,71.1924,0.0,22.4,20.4,1006.0,55.0,OBS_20240110_GUJ
2024-01-11,Gujarat,22.2587,71.1924,0.0,18.7,14.2,1002.8,58.6,OBS_20240111_GUJ
2024-01-02,Maharashtra,19.7515,75.7139,0.0,21.6,11.9,1006.9,59.0,OBS_20240102_MAH
2024-01-03,Maharashtra,19.7515,75.7139,0.0,20.5,11.3,1007.7,58.8,OBS_20240103_MAH
2024-01-04,Maharashtra,19.7515,75.7139,1.3,19.5,12.7,1005.3,61.0,OBS_20240104_MAH
2024-01-05,Maharashtra,19.7515,75.7139,0.0,20.6,14.1,1005.8,59.6,OBS_20240105_MAH
2024-01-06,Maharashtra,19.7515,75.7139,5.8,20.7,13.7,1007.4,56.3,OBS_20240106_MAH
2024-01-07,Maharashtra,19.7515,75.7139,5.0,22.5,8.4,1004.3,55.8,OBS_20240107_MAH
2024-01-08,Maharashtra,19.7515,75.7139,0.0,20.8,10.5,1007.2,49.5,OBS_20240108_MAH
2024-01-09,Maharashtra,19.7515,75.7139,2.9,26.8,13.2,1003.5,58.9,OBS_20240109_MAH
2024-01-10,Maharashtra,19.7515,75.7139,0.0,17.6,13.1,1003.9,57.4,OBS_20240110_MAH
2024-01-11,Maharashtra,19.7515,75.7139,0.0,21.1,13.7,1007.6,57.7,OBS_20240111_MAH
2024-01-02,Kerala,10.8505,76.2711,0.0,21.6,12.0,1006.3,52.8,OBS_20240102_KER
2024-01-03,Kerala,10.8505,76.2711,0.5,20.8,14.7,1005.8,57.1,OBS_20240103_KER
2024-01-04,Kerala,10.8505,76.2711,1.8,23.2,12.0,1004.6,47.8,OBS_20240104_KER
2024-01-05,Kerala,10.8505,76.2711,0.7,22.3,11.7,1007.1,59.3,OBS_20240105_KER
2024-01-06,Kerala,10.8505,76.2711,8.1,20.9,12.4,1006.0,53.7,OBS_20240106_KER
